ApplNo	ProductNo	TECode	TESequence	ProductMktStatus
018888	001	AB	1	1
018890	002	AP	1	1
018891	001	AB	1	1
018891	002	AB	1	1
018891	003	AB	1	1
018896	001	AP	1	1
018900	001	AP	1	1
018902	001	AP	1	1
018916	010	AP	1	1
018916	011	AP	1	1
018917	001	AB	1	1
018917	003	AB	1	1
018921	001	AT	1	1
018925	001	AP	1	1
018927	001	AB	1	1
018932	001	AB	1	1
018936	001	AB1	1	1
018936	003	AB	1	1
018936	006	AB1	1	1
018938	001	AP	1	1
018948	001	AB	1	1
018963	001	AP	1	1
018965	001	AB	1	1
018972	001	AB	1	1
018977	002	AB	1	1
018983	012	AA	1	1
018985	002	AB	1	1
018998	001	AB	1	1
018998	002	AB	1	1
018998	003	AB	1	1
018998	005	AB	1	1
019011	001	AA	1	1
019028	001	AT	1	1
019032	001	AB	1	1
019032	002	AB	1	1
019034	001	AP	1	1
019034	003	AP	1	1
019034	004	AP	1	1
019034	005	AP	1	1
019039	001	AP	1	1
019048	001	AB	1	1
019049	001	AB	1	1
019050	001	AP	1	1
019071	001	AB	1	1
019071	002	AB	1	1
019071	003	AB	1	1
019081	002	BX	1	1
019081	003	BX	1	1
019090	001	AP	1	1
019099	002	AP	1	1
019099	003	AP	1	1
019099	004	AP	1	1
019101	001	AP	1	1
019111	001	AB	1	1
019115	001	AP	1	1
019116	001	AT	1	1
019117	001	AB1	1	1
019123	001	AB2	1	1
019123	002	AB2	1	1
019129	001	AB	1	1
019129	003	AB	1	1
019137	001	AB	1	1
019141	001	AB	1	1
019151	001	AB	1	1
019151	002	AB	1	1
019151	003	AB	1	1
019152	001	AB	1	1
019152	003	AB	1	1
019157	001	AA	1	1
019211	001	AP	1	1
019211	003	AP	1	1
019211	006	AP	1	1
019211	007	AP	1	1
019217	001	AP	1	1
019219	002	AT	1	1
019221	001	AB	1	1
019221	003	AB	1	1
019222	001	AP	1	1
019257	001	AA	1	1
019257	002	AA	1	1
019268	001	AB	1	1
019268	003	AB	1	1
019270	001	AT	1	1
019281	001	AP	1	1
019292	001	AP	1	1
019308	001	AP	1	1
019308	002	AP	1	1
019308	003	AP	1	1
019308	004	AP	1	1
019308	005	AP	1	1
019308	006	AP	1	1
019308	007	AP	1	1
019316	001	AP	1	1
019339	002	AP	1	1
019339	003	AP	1	1
019339	004	AP	1	1
019345	001	AP	1	1
019353	001	AP	1	1
019367	004	AP	1	1
019367	005	AP	1	1
019367	006	AP	1	1
019367	007	AP	1	1
019367	008	AP	1	1
019386	006	AP	1	1
019404	001	AT	1	1
019416	001	AT	1	1
019429	003	AB	1	1
019430	001	BX	1	1
019430	002	BX	1	1
019452	001	AT	1	1
019452	002	AT	1	1
019452	003	AT	1	1
019462	001	AB	1	1
019462	002	AB	1	1
019465	001	AP	1	1
019465	002	AP	1	1
019466	001	AP	1	1
019479	001	AP	1	1
019480	001	AP	1	1
019516	001	AB	1	1
019516	002	AB	1	1
019516	003	AB	1	1
019516	004	AB	1	1
019516	005	AB	1	1
019527	001	AB	1	1
019531	001	AP	1	1
019531	002	AP	1	1
019537	001	AB	1	1
019537	002	AB	1	1
019537	003	AB	1	1
019537	004	AB	1	1
019543	001	AB	1	1
019555	001	AB	1	1
019558	001	AB	1	1
